job_id,title,company,location,is_active,job_state,posted_time,employment_type,experience_level,salary,applicants,linkedin_url,description,scraped_at
4323740671,Associate Finance,Infosys,"Bengaluru East, Karnataka, India",True,LISTED,3 hours ago,Contract,Mid-Senior level,,Over 200 applicants,https://www.linkedin.com/jobs/view/4323740671/,"Business Finance
Below are the key activities which are performed by the Business Finance team:
Financial Analysis
Financial Budgeting
Proposal Review
Pricing Modelling
Contract Review Revenue Assurance Group Below are the key activities which are performed by the Revenue Assurance team:
Recognition of Revenue
Providing revenue projections
Review of Contracts
Reports on Unbilled, Unearned and other revenue parameters
Creation of projects in the OTR systems
Invoicing
Support to Delivery, Sales, Ops and other teams on revenue related issues. Corporate Taxation Below are the key activities which are performed by the Corporate Taxation team:
To ensure direct tax compliances for India
Mitigate tax risks for company
Monitor transfer pricing arrangements
Advice on tax applicability and structuring of deals
Handle tax audits to ensure full adherence to regulatory compliance
To highlight ideas on structuring tax related costs for the company to reduce company’s effective tax cost without hindering compliance and provide inputs for decision making
To provide data/explanations to tax authorities for assessments, file appeals against unfavorable judgements and litigation management.
Corporate Accounting Group
The candidate will be given an opportunity to learn core accounting processes & compliances and will be part of a large global finance operations/ Center of Excellence. The candidate will be working in any of the following critical areas
Accounting operations which include o Procure 2 Pay, o Capex & Opex accounting and controls, o Expense analytics, provision controls & GL scrutiny o Monthly / Quarterly Book Closures o Schedule reviews, Internal controls & Audit Closures
Enhancing Employee Experience & Compliances which includes o Payroll Operations & Controls across globe o ESOP/RSUs, PF, Superannuation, Managing Trusts o Financial Compliances – payroll, SEZ/STP
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Contract
Job function
Finance and Sales
Industries
IT Services and IT Consulting",2026-01-25T20:42:07.260662
4360099992,Steel Detailer,Infosys,"Bengaluru East, Karnataka, India",True,LISTED,1 week ago,Full-time,Entry level,,Over 200 applicants,https://www.linkedin.com/jobs/view/4360099992/,"Proficiency in Tekla Structures and Autodesk Revit for 3D modeling and BIM integration. Experience with AutoCAD for 2D detailing and Navisworks for clash detection. Strong understanding of steel detailing standards and connection design. Ability to identify automation opportunities using APIs, scripts, or data connectors. Excellent communication and team collaboration skills.
Develop detailed fabrication drawings for beams, columns, trusses, bracings, stairs, handrails, and other steel components. Prepare erection drawings, assembly drawings, and connection details. Ensure compliance with AISC, BS, IS, and Eurocode standards. Collaborate with engineers to optimize steel usage and reduce fabrication complexity. Perform clash detection with other disciplines (Mechanical, Electrical, Piping). Integrate steel detailing within BIM workflows for multi-trade coordination.
Tools You’ll Work With Tekla Structures / Advance Steel (Steel detailing & 3D modeling) Autodesk Revit (BIM & steel modeling) AutoCAD (2D detailing) Navisworks (Clash detection & coordination)
Show more
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Design, Art/Creative, and Information Technology
Industries
IT Services and IT Consulting",2026-01-25T20:42:08.646675
4323369504,Python Developer,Infosys,"Bengaluru, Karnataka, India",True,LISTED,3 weeks ago,Full-time,Mid-Senior level,,Over 200 applicants,https://www.linkedin.com/jobs/view/4323369504/,"Direct message the job poster from Infosys
Geeta Shah
Geeta Shah
Working at Infosys as Talent Acquisition
Educational Requirements
Bachelor of Engineering,BCA,BSc,MTech,MCA,MSc
Service Line
Engineering Services
Responsibilities
A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. • You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. • You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. • You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. • You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!
Additional Responsibilities:
• Knowledge of more than one technology • Basics of Architecture and Design fundamentals • Knowledge of Testing tools • Knowledge of agile methodologies • Understanding of Project life cycle activities on development and maintenance projects • Understanding of one or more Estimation methodologies, Knowledge of Quality processes • Basics of business domain to understand the business requirements • Analytical abilities, Strong Technical Skills, Good communication skills • Good understanding of the technology and domain • Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods • Awareness of latest technologies and trends • Excellent problem solving, analytical and debugging skills
Technical and Professional Requirements:
• Primary skills:Technology->OpenSystem->Python - OpenSystem
Preferred Skills:
Technology->OpenSystem->Python - OpenSystem
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Information Technology
Industries
IT Services and IT Consulting",2026-01-25T20:42:10.049923
4354953317,Human Resources Business Partner,Infosys,"Bengaluru, Karnataka, India",True,LISTED,1 week ago,Full-time,Mid-Senior level,,Over 200 applicants,https://www.linkedin.com/jobs/view/4354953317/,"Direct message the job poster from Infosys
Pranjal Dixit
Pranjal Dixit
Senior Lead - Talent Acquisition
The key purpose of the HR Business Partner is to provide strategic arm to Business Units in meeting their day-to-day HR requirements. In this role, the HR Business Partner will liaise with the business leaders and managers to introduce specific HR initiatives relevant to business and recommend HR solutions aligned to business objectives. The core HR work includes, but is not limited to, maximizing people capability, providing change leadership, managing end to end employee lifecycle, supporting day-to-day operations as well as proactively engaging in process improvements. HR Business Partner is expected to collaborate with other HR Functional Leaders, OD, HRSD and CoE folks to identify and influence changes that will bring improvements to people practices, systems and processes. This role is also expected to drive project management for various HR initiatives including management training and development, succession planning, policy review and implementation.
Be the voice of business to suggest HR practices that support business objectives.
Work collaboratively with internal and external stakeholders to develop and implement innovative programs, processes and solutions.
Proactive liaison and consultation with business stakeholders to understand the changing needs of the business and to suggest solutions aligned to changing priorities.
Work with cross functional and centers of excellence to facilitate end to end HR needs for the business pertaining to Talent Management, Performance Management, Talent Acquisition, Employee Relations, Staffing, Succession Planning, Organization Structure and Skills Assessments
Continually evaluates existing work processes and prospective processes work to ensure the most effective use of resources.
Audits and recommends updates to HR data and systems in respective portfolio.
Assists with all audit requests (external & internal) pertaining to employee life cycle.
Desired Skills
Functional/Operational:
Manage end to end employee life cycle including onboarding for new joiners, confirmation, performance appraisals, grievance handling, employee relations and employee separation.
Review and analyze business unit data to identify trends and recommend solutions to improve performance, retention, and employee experience (Attrition Analysis, Early Warning Signals, Retention, Engagement levels)
Assess and ascertain manpower requirements for the business ensuring adequate staff backup to avoid crisis situations and working with hiring team to ensure backfill hiring is completed within agreed timelines.
Work with line managers and employees to address all types of employee relations issues ensuring an unbiased approach in query resolution prioritizing employer employee interests.
Work with line managers to identify bottom quartile employees and coach them to focus on improving performance and create adequate succession pipeline at middle management.
Proactive inputs to HR verticals on benchmarking requirements seeking internal as well as external market ""best practice"" opportunities that will enhance engagement.
Plan, manage and provide continuous improvements and be actively involved in leadership business reviews, and engage with stakeholders on understanding business objectives both at a strategic and an operational level. This includes involvement in both annual and mid-year processes which focus on performance management and talent development.
Provide compensation support including compensation bands validation, inputs on promotion recommendations and competency-based resource utilization.
Create robust communication forums and facilitate interactions between the employees and management on a regular basis.
Manage exit interviews and support the business in analyzing the data and provide innovative solutions to improve retention rates.
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Human Resources
Industries
IT Services and IT Consulting",2026-01-25T20:42:11.430871
4330454140,Category Lead,Infosys,"Bengaluru, Karnataka, India",True,LISTED,2 weeks ago,Full-time,Associate,,Over 200 applicants,https://www.linkedin.com/jobs/view/4330454140/,"Experience: 5 - 10 years
Location: Bangalore
Description:
Complete the sourcing, negotiation and finalization of ECMS Vendors based on Organizational requirements and manage Vendor relationships. Carry out the function in accordance with regulatory frameworks and company policies. Provide inputs for a skill, tenure and geography-based Pricing Grid for Subcontractors and to get the most services delivered by a chosen set of limited Vendors in a timely manner and within budgets.
Area of responsibility:
Strategic planning
Deploy and implement long-term sourcing strategies and plans to achieve company objectives, including cost reduction targets
Supplier management
Identify, evaluate, and select suppliers. Build and maintain strong relationships with key vendors and negotiate contracts to secure favorable terms, quality, and delivery.
Cost and risk management
Evaluate market trends and identify cost-saving opportunities. Assess risks associated with suppliers and supply chain
Data analysis
Use data to create business cases for new initiatives and to report on performance, savings, and market conditions to management
Performance and compliance
Monitor supplier performance to ensure quality and timely delivery. Assist in audits for compliance with company policies and relevant laws and regulations
Leadership
Actively participate in sourcing discussions, manage the department's budget, and collaborate with internal stakeholders across various departments like engineering and logistics
Audits
Resolve or suggest process or control changes in order to maintain adherence to process, regulatory compliance and company goals
Competencies:
Procurement
In depth knowledge of the Procurement cycle and all its stages
Vendor Management
Ability to manage the Vendor partner relationship for optimal transactions
Negotiation
To be a strong negotiator with data and facts and a win-win arrangement
Analytical Ability
To analyze data from multiple sources in a manner to build cause effect linkages and prepare business cases
High Impact Communication
Ability to highlight key ideas, and articulate a point of view in a firm manner, with due consideration to the audience points of view too
Planning & organizing
To optimally organize workloads and projects in the most efficient manner to avoid any slippage in timelines or deliverables
Building Collaborations
To interact seamlessly with all key stakeholders to build mutual trust and make progressive decisions in a collective effort for success
Proficiency in Software
Ability to adapt to new platforms, systems and software
Additional proficiencies:
Prior experience in IT/ITes Industry
To have worked on Sourcing platforms like SAP, Oracle, Coupa
Handled sourcing and procurement of services from Manpower Agencies
Good market awareness of vendor capability and global trends in resource availability
Show more
Show less
Seniority level
Associate
Employment type
Full-time
Job function
Purchasing
Industries
IT Services and IT Consulting and Outsourcing and Offshoring Consulting",2026-01-25T20:42:12.800603
4354416000,Business Analyst - Wealth Management,Infosys,"Bengaluru East, Karnataka, India",True,LISTED,1 week ago,Full-time,Mid-Senior level,,Over 200 applicants,https://www.linkedin.com/jobs/view/4354416000/,"Primary skills:Domain->Capital Markets->Wealth Management
A day in the life of an Infoscion
As part of the Infosys consulting team, your primary role would be to get to the heart of customer issues, diagnose problem areas, design innovative solutions and facilitate deployment resulting in client delight.
You will develop a proposal by owning parts of the proposal document and by giving inputs in solution design based on areas of expertise.
You will plan the activities of configuration, configure the product as per the design, conduct conference room pilots and will assist in resolving any queries related to requirements and solution design
You will conduct solution/product demonstrations, POC/Proof of Technology workshops and prepare effort estimates which suit the customer budgetary requirements and are in line with organization’s financial guidelines
Actively lead small projects and contribute to unit-level and organizational initiatives with an objective of providing high quality value adding solutions to customers. If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Ability to develop value-creating strategies and models that enable clients to innovate, drive growth and increase their business profitability
Good knowledge on software configuration management systems
Awareness of latest technologies and Industry trends
Logical thinking and problem solving skills along with an ability to collaborate
Understanding of the financial processes for various types of projects and the various pricing models available
Ability to assess the current processes, identify improvement areas and suggest the technology solutions
One or two industry domain knowledge
Client Interfacing skills
Project and Team management
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Research, Analyst, and Information Technology
Industries
IT Services and IT Consulting",2026-01-25T20:42:14.174329
4354910797,Business Analyst - Metricstream,Infosys,"Bengaluru East, Karnataka, India",True,LISTED,1 week ago,Full-time,Mid-Senior level,,81 applicants,https://www.linkedin.com/jobs/view/4354910797/,"Experience in Metricstream application - Experience in facilitating the dialog with App Owners with minimum support from Product Owner - Have multiple years of experience working as a Business Analyst - Thrive with great responsibility and is team-oriented with solid stakeholder management capabilities - Has a holistic and positive view to the job: no job is too big, no job is too small – the team covers a wide range of tasks and we always support each other in getting the job done - Catch the essence of complex problems and can communicate them in a clear and understandable way - Are outgoing and enjoy talking to different people - Are motivated by working in an agile and fast-pace environment and you actively contribute to the social culture of the squad you are part of.
Be main responsible for dialog with App owner - Studying the Out-of-box application solution in M7 - Assist business representatives in Functional Gap Document analysis and evaluation - Document the requirements - UAT Plan and execution - Test cases' preparation based on the configuration workbook and Functional Gap Document - Support Senior Business analysts to train the business users to use the M7 application
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Research, Analyst, and Information Technology
Industries
IT Services and IT Consulting",2026-01-25T20:42:15.550492
4360099486,Manager - Purchase,Infosys,"Bengaluru East, Karnataka, India",True,LISTED,1 week ago,Full-time,Mid-Senior level,,Over 200 applicants,https://www.linkedin.com/jobs/view/4360099486/,"In depth knowledge of the Procurement cycle and all its stages Ability to manage the Vendor partner relationship for optimal transactions To be a strong negotiator with data and facts and a win-win arrangement To analyze data from multiple sources in a manner to build cause effect linkages and prepare business cases Ability to highlight key ideas, and articulate a point of view in a firm manner, with due consideration to the audience points of view too To optimally organize workloads and projects in the most efficient manner to avoid any slippage in timelines or deliverables To interact seamlessly with all key stakeholders to build mutual trust and make progressive decisions in a collective effort for success Ability to adapt to new platforms, systems and software
Deploy and implement long-term sourcing strategies and plans to achieve company objectives, including cost reduction targets Identify, evaluate, and select suppliers. Build and maintain strong relationships with key vendors and negotiate contracts to secure favorable terms, quality, and delivery. Evaluate market trends and identify cost-saving opportunities. Assess risks associated with suppliers and supply chain Use data to create business cases for new initiatives and to report on performance, savings, and market conditions to management Monitor supplier performance to ensure quality and timely delivery. Assist in audits for compliance with company policies and relevant laws and regulations Actively participate in sourcing discussions, manage the department's budget, and collaborate with internal stakeholders across various departments like engineering and logistics Resolve or suggest process or control changes in order to maintain adherence to process, regulatory compliance and company goals
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Purchasing and Supply Chain
Industries
IT Services and IT Consulting",2026-01-25T20:42:16.924544
4362082614,"Python, SQL, Dagster",Infosys,"Bengaluru East, Karnataka, India",True,LISTED,4 days ago,Full-time,Not Applicable,,42 applicants,https://www.linkedin.com/jobs/view/4362082614/,"Primary skills:Technology->Big Data->Big Data - ALL
A day in the life of an Infoscion
As part of the Infosys consulting team, your primary role would be to get to the heart of customer issues, diagnose problem areas, design innovative solutions and facilitate deployment resulting in client delight.
You will develop a proposal by owning parts of the proposal document and by giving inputs in solution design based on areas of expertise.
You will plan the activities of configuration, configure the product as per the design, conduct conference room pilots and will assist in resolving any queries related to requirements and solution design
You will conduct solution/product demonstrations, POC/Proof of Technology workshops and prepare effort estimates which suit the customer budgetary requirements and are in line with organization’s financial guidelines
Actively lead small projects and contribute to unit-level and organizational initiatives with an objective of providing high quality value adding solutions to customers. If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!
Ability to develop value-creating strategies and models that enable clients to innovate, drive growth and increase their business profitability
Good knowledge on software configuration management systems
Awareness of latest technologies and Industry trends
Logical thinking and problem solving skills along with an ability to collaborate
Understanding of the financial processes for various types of projects and the various pricing models available
Ability to assess the current processes, identify improvement areas and suggest the technology solutions
One or two industry domain knowledge
Client Interfacing skills
Project and Team management
Show more
Show less
Seniority level
Not Applicable
Employment type
Full-time
Job function
Other
Industries
IT Services and IT Consulting",2026-01-25T20:42:18.298922
4363370620,Business Analyst - Wealth Management,Infosys,"Bengaluru East, Karnataka, India",True,LISTED,2 days ago,Full-time,Mid-Senior level,,196 applicants,https://www.linkedin.com/jobs/view/4363370620/,"Primary skills:Domain->Capital Markets->Wealth Management
A day in the life of an Infoscion
As part of the Infosys consulting team, your primary role would be to get to the heart of customer issues, diagnose problem areas, design innovative solutions and facilitate deployment resulting in client delight. Ability to develop value-creating strategies and models that enable clients to innovate, drive growth and increase their business profitability
Good knowledge on software configuration management systems
Awareness of latest technologies and Industry trends
Logical thinking and problem solving skills along with an ability to collaborate
Understanding of the financial processes for various types of projects and the various pricing models available
Ability to assess the current processes, identify improvement areas and suggest the technology solutions
One or two industry domain knowledge
Client Interfacing skills
Project and Team management
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Research, Analyst, and Information Technology
Industries
IT Services and IT Consulting",2026-01-25T20:42:19.687196
